Category,Asset Name,Type,Description / Purpose,Format,Variants / States,Priority,Notes
Characters,Sidekick — Nudging,Illustration / Animation,"Sidekick pokes or waves to get student's attention. Used when student is supposed to talk but hasn't pressed PTT.",Lottie or sprite sheet,Looping animation (e.g. bouncing or waving),P1,"Playful 'hey, your turn!' energy. Replaces the current text-only prompt"
Characters,Sidekick — Celebrating,Illustration / Animation,"Sidekick does a little happy dance or jump. Shown alongside tutor celebration on correct answers.",Lottie or sprite sheet,One-shot animation,P2,Secondary celebration — smaller and quicker than tutor's
Characters,Sidekick — Giggling/Playful,Illustration / Animation,"Ambient idle animation. Sidekick does something cute occasionally (yawns, scratches head, looks around). Keeps the screen feeling alive.",Lottie or sprite sheet,"2-3 micro-animations (randomly triggered, looping)",P2,These are the personality moments — small things that make kids smile
,,,,,,,
UI — BACKGROUNDS,,,,,,,"Replacing the current CSS-only Candy Land background"
UI,App Background,Background illustration,"Main app background visible behind all content. Should be warm, inviting, not distracting. Think classroom or adventure world.",PNG or SVG,"1 main version (can be tiled or stretched). Optional: subtle parallax layers",P0,Must not compete with content for attention. Soft colors.
UI,Welcome Screen Background,Background illustration,"Landing page background when the app first loads. Can be more vibrant/exciting than the in-session background.",PNG or SVG,1 version,P1,This is the 'cover page' — can be more expressive
UI,Completion Screen Background,Background illustration,"Celebration background shown when student finishes all 14 nodes. Festive, achievement-focused.",PNG or SVG,1 version,P1,Should feel like a culmination — balloons/stars/party vibe
,,,,,,,
UI — PANELS & FRAMES,,,,,,,
UI,Chat Panel Background,Panel/Frame asset,"Background or frame for the chat sidebar where conversation bubbles appear. Currently a plain translucent panel.",PNG or SVG (9-slice or stretchable),1 version,P1,Needs to be tall and narrow — sidebar on desktop; bottom overlay on mobile
UI,Chat Bubble — Tutor,Bubble shape/style,"Message bubble shape for tutor messages. Currently white rounded rectangle.",SVG or CSS reference,1 shape (can include small tutor avatar thumbnail),P2,WhatsApp-style. Tutor bubble should be visually distinct from student bubble
UI,Chat Bubble — Student,Bubble shape/style,"Message bubble shape for student messages. Currently green rounded rectangle.",SVG or CSS reference,1 shape,P2,Could stay simpler than tutor bubble — student messages are short
UI,Content Frame,Border/Frame,"Optional decorative frame around the main content area (where slides, videos, applets appear).",PNG or SVG (9-slice),1 version,P2,"Light touch — don't obscure content edges. Could be just rounded corners with a subtle border"
,,,,,,,
UI — BUTTONS & ICONS,,,,,,,
UI,PTT Button — Default,Button asset,"Hold-to-talk button in the chat panel. Currently emoji mic + CSS. The primary student interaction control.",SVG or PNG,"2 states: default (ready) + active (recording)",P0,"Most tapped element in the app. Must be large, clear, and finger-friendly"
UI,PTT Button — Recording Indicator,Animation,"Visual feedback while student is holding the button and speaking. Currently CSS waveform bars.",Lottie or CSS reference,Looping animation,P1,Should feel responsive — 'yes I can hear you'
UI,Skip Button,Button/Icon,"Skip/Done button shown on videos, applets, and slides (top-right corner). Currently a translucent pill with arrow text.",SVG or PNG,1 state,P1,"Small, unobtrusive but findable"
UI,Start Button,Button asset,"'Let's Go' button on the welcome screen.",SVG or PNG,1 state (+ optional pressed state),P1,Big and inviting — the call to action
,,,,,,,
PROGRESS & GAMIFICATION,,,,,,,"Note: the current top progress bar with 14 star milestones is being removed. Replaced with something simpler."
Progress,Node Complete Star/Badge,Icon,"Small icon awarded per completed node. Could be a star, gem, or custom collectible.",SVG or PNG,"2 states: locked (grey/outline) + earned (colored/full)",P2,14 total across the journey. Only needed if we keep any progress visualization
Progress,Trophy / Certificate,Illustration,"Shown on completion screen. Currently a trophy emoji.",PNG with transparency,1 version,P2,Could be a badge or certificate or medal — whatever fits the character theme
,,,,,,,
EFFECTS & TRANSITIONS,,,,,,,
Effects,Confetti / Celebration Particles,Animation,"Triggered on correct answers. Currently CSS confetti pieces. Could become themed particles (stars, sparkles, fraction symbols).",Lottie or sprite sheet,One-shot animation (1-2 seconds),P1,Should match the overall visual style — not generic confetti
Effects,Screen Transition,Animation,"Transition between nodes (e.g. from video to post-question). Currently an instant cut.",Lottie or CSS reference,"1 transition style (e.g. slide, fade, wipe)",P2,Keep it fast (300-500ms). Just enough to feel polished not sluggish
Effects,Correct Answer Flash,Animation / Effect,"Brief visual reward overlaid on content when student answers correctly, just before confetti.",Lottie or CSS reference,One-shot (e.g. green glow or checkmark burst),P2,Optional — confetti may be sufficient on its own
,,,,,,,
AUDIO ASSETS,,,,,,,"Not visual but worth listing since the design team may coordinate with audio"
Audio,Correct Answer SFX,Sound effect,"Short positive chime on correct answer.",MP3/OGG,1 clip (< 1 second),P2,Currently no SFX — purely voice-driven. Adding this would enhance the celebration moment
Audio,Node Transition SFX,Sound effect,"Subtle 'whoosh' or 'ding' when moving to the next node.",MP3/OGG,1 clip (< 1 second),P2,Optional polish
Audio,PTT Start/Stop SFX,Sound effect,"Brief click or beep when student starts/stops recording.",MP3/OGG,2 clips (start + stop),P2,Gives tactile feedback that the mic is active
